DamageId,Id,TimePeriod,projectworkflowstageid,x,y
185791,85157,14,-1,-7386826.337374339,2046988.657026171
169029,85158,14,3,-7370870.469480978,2068760.6847497495
139161,85161,14,3,-7340292.786471921,2075189.5896921293
139164,85162,14,-1,-7389377.780103322,2046583.1371412019
141587,85163,14,3,-7351689.453300354,2059737.6380015616
174774,85164,14,3,-7351195.862678177,2058953.0507336103
175460,85165,14,3,-7351693.906079986,2058611.6193836322
170623,85173,14,-1,-7372558.629558861,2063071.5326218929
136443,85174,14,3,-7352374.068168732,2064852.9579352543
136445,85175,14,3,-7351725.075537406,2064547.0573897064
131443,85176,14,3,-7350560.005746762,2064667.8934169
131569,85177,14,2,-7345256.522566391,2087035.635380215
141765,85179,14,6,-7345149.878494214,2087855.6882038813
205870,85180,14,3,-7341882.206161466,2075602.2449834652
134657,85181,14,3,-7339826.580444479,2072641.374091224
134668,85182,14,3,-7339794.965709092,2074627.786899311
139181,85183,14,3,-7337688.6896237945,2070942.741284534
170615,85184,14,-1,-7372558.629558861,2063071.5326218929
170596,85185,14,2,-7375765.632769122,2064782.6355644444
169913,85186,14,3,-7372483.043624607,2062204.5504529963
170012,85187,14,2,-7372261.29519895,2062629.7163433898
431684,85195,14,-1,-7344966.86925135,2081699.827868937
170626,85200,14,-1,-7372558.629558861,2063071.5326218929
220960,85202,14,2,-7371881.695735347,2063713.2965991467
169975,85206,14,3,-7371692.118642525,2067907.644345724
169639,85209,14,3,-7371842.399955097,2066990.1705377593
170001,85211,14,-1,-7369866.367674021,2066692.4429358938
220969,85212,14,-1,-7369866.367674021,2066692.4429358938
431685,85214,14,-1,-7344966.86925135,2081699.827868937
141767,85215,14,1,-7347049.656924092,2089893.8205005731
139202,85219,14,2,-7349746.371588559,2089351.0885409708
134684,85220,14,1,-7346433.614862041,2085436.2234277716
220944,85221,14,-1,-7372297.919311424,2063113.3708927056
170290,85224,14,6,-7379959.037987302,2072693.0809751437
171678,85227,14,2,-7382592.968458963,2072028.6399497797
139250,85230,14,2,-7362025.134062038,2088275.0556116276
135577,85231,14,1,-7363592.067214442,2090378.3604712219
141770,85233,14,2,-7342157.833220672,2082249.2752010361
139163,85235,14,3,-7338778.730077643,2074988.9524279514
170297,85236,14,3,-7384845.963633128,2077711.9722759624
141815,85248,14,3,-7342143.806964829,2086226.996658879
139189,85249,14,3,-7343858.461081516,2077614.0451111065
139174,85250,14,3,-7339769.362226211,2071940.3542917487
179533,85251,14,6,-7383083.4421354,2072044.1163596292
279836,85252,14,6,-7382753.157206215,2077711.9722759624
135557,85257,14,1,-7363394.809076755,2088250.2969690748
135575,85258,14,2,-7365319.189114099,2089063.4758620046
131151,85259,14,7,-7361558.371437143,2088776.9233680114
169824,85261,14,6,-7379373.386146243,2073966.917526036
279835,85262,14,2,-7382330.143141199,2077770.6115233274
172712,85264,14,1,-7442268.341846984,2093538.306918424
315065,85265,14,1,-7444529.9086219445,2094763.2203066885
315066,85266,14,1,-7440779.554977115,2094297.2373750333
171724,85267,14,2,-7441994.0506216725,2094475.1781978658
135569,85268,14,7,-7365188.166073438,2088090.3639106895
131144,85269,14,2,-7427026.031889609,2068331.4053104287
135563,85270,14,7,-7361808.50633295,2089470.194952049
171716,85274,14,2,-7384307.733895142,2073976.1808054128
282482,85278,14,-1,-7385146.52625827,2069211.0744971512
135568,85279,14,7,-7365141.745845773,2088615.578034742
135576,85280,14,7,-7362197.233994799,2088445.7854669846
139249,85281,14,7,-7361062.443105658,2088963.1468228472
139184,85282,14,3,-7338217.902483026,2075351.7660902643
136613,85283,14,1,-7342319.803079772,2082937.0438255833
431687,85285,14,-1,-7344966.86925135,2081699.827868937
170146,85287,14,-1,-7385569.540323286,2074979.5714238237
171741,85289,14,6,-7368726.901366265,2059249.025008796
169846,85290,14,6,-7379246.593246228,2074639.5129518823
169704,85292,14,6,-7381016.573149839,2066432.9311667604
139261,85293,14,7,-7364046.918653821,2088786.0760874264
172158,85300,14,1,-7441082.677950546,2092670.4898752081
171243,85303,14,1,-7440759.406149281,2094265.1941091344
170125,85304,14,6,-7381374.020034779,2077304.6687454707
279591,85305,14,2,-7384574.344075595,2068988.3401641487
171725,85307,14,6,-7382864.699335993,2068923.1615257515
349695,85314,14,-1,-7368726.901366265,2053151.1325064742
288818,85318,14,-1,-7380014.697732704,2071684.7618534751
288819,85319,14,-1,-7380014.697732704,2071684.7618534751
279851,85321,14,2,-7382458.049236121,2077388.5212363203
